"brand_name","provider_id","cnt_services"
"Viasat, Inc.","290111 ","224975776"
"Starlink","430076 ","114863490"
"HughesNet","130627 ","114782177"
"T-Mobile US","130403 ","77601475"
"AT&T Inc","130077 ","40836882"
"Xfinity","130317 ","37407824"
"Charter Communications Inc","130235 ","35707002"
"VERIZON","131425 ","30108687"
"Verizon","131425 ","14149009"
"CenturyLink","130228 ","12193849"
"UNITED STATES CELLULAR CORPORATION","131310 ","9923489"
"FRONTIER","130258 ","7669995"
"Cox Communications","130360 ","7502887"
"Optimum","130370 ","7486140"
"Rise Broadband","140048 ","5095730"
"Brightspeed","470022 ","3920967"
"Nextlink","290010 ","3476397"
"Nextera Wireless","200032 ","3145312"
"Astound_Broadband","130079 ","2518212"
"Metronet Holdings","131081 ","2314862"
"Everstream","330025 ","2105364"
"Sparklight","130183 ","1883671"
"unWired Broadband","460087 ","1857547"
"WOW Internet, Cable & Phone","131480 ","1639526"
"Midco","130821 ","1597998"
"W A T C H TV","130116 ","1427905"
"Mercury Broadband","190236 ","1332203"
"Claro","170001 ","1314141"
"Ziply Fiber","420173 ","1303661"
"Google Fiber","240041 ","1287766"
"TWN Communications","131016 ","1273841"
"Breezeline","280001 ","1234161"
"TDS Telecom","131310 ","1223537"
"altafiber Network Solutions","130254 ","1144387"
"Quantum Fiber","130228 ","1090772"
"Consolidated Communications","130335 ","1077461"
"Liberty","130741 ","1074112"
"Rapid Systems","180048 ","1025896"
"AIRFIBER WISP LLC","330004 ","933847"
"Agile Networks","130254 ","914057"
"Point Broadband Fiber Holding, LLC","340070 ","888267"
"Cal.net","270020 ","884582"
"Aeronet Wireless Broadband","370151 ","866369"
"Foremost Telecommunications","190256 ","854114"
"Wisper ISP, LLC","430176 ","810537"
"Mediacom_Iowa_LLC","130804 ","801123"
"Gutierrez-Palmenberg  Inc.","300063 ","782829"
"DM Wireless LLC","390155 ","757529"
"Preferred Networks Inc.","420058 ","736770"
"Bug Tussel Wireless LLC","300025 ","731070"
"LV.Net","290065 ","728528"
"Unwired Ltd","131400 ","728069"
"Resound Networks","340061 ","716938"
"Believe Broadband","290016 ","712687"
"Bertram Internet","260003 ","699449"
"PenTeleData","131026 ","669014"
"OpenBroadband LLC","390082 ","659080"
"Brown Dog Networks","320018 ","656912"
"Whittrio, Inc. dba Stimulus Technologies","350116 ","608792"
"Triad Wireless LLC","350105 ","604096"
"Windstream Kentucky East, LLC","131413 ","594425"
"Valor Telecommunications of Texas, LP","131413 ","586211"
"Choice Wireless","130081 ","584077"
"Neptuno Media","150290 ","583563"
"Vyve Broadband","410114 ","578968"
"Aeronet Wireless Broadband LLC","370151 ","569597"
"Stratus Networks, Inc.","300150 ","501820"
"Alyrica","270011 ","489435"
"DigitalPath, Inc.","190123 ","471971"
"Mediacom_Southeast_LLC","130804 ","471802"
"Ultimate Internet Access, Inc","340076 ","456530"
"NMSurf","360105 ","437338"
"Bluespan","300019 ","434886"
"StarTouch","320112 ","418157"
"ArmstrongUtilitiesInc","130071 ","417155"
"Simply Bits","131191 ","416058"
"infinaSky","390100 ","395526"
"Ethoplex","360104 ","388380"
